iter	Passed	Remaining
0	321	1123254
1	551	964070
2	787	917925
3	1009	882526
4	1238	865476
5	1464	852768
6	1677	837054
7	1878	819912
8	2084	808554
9	2304	804152
10	2515	797988
11	2756	801285
12	3079	825926
13	3345	833111
14	3593	835001
15	3809	829597
16	4027	825143
17	4233	819010
18	4435	812568
19	4645	808266
20	4884	809261
21	5133	811596
22	5333	806316
23	5535	801701
24	5731	796682
25	5953	795437
26	6240	802687
27	6470	802320
28	6689	800713
29	6975	806857
30	7218	807743
31	7429	805130
32	7659	804743
33	7882	803555
34	8107	802688
35	8312	799873
36	8526	798010
37	8732	795552
38	9015	800082
39	9291	803680
40	9544	805267
41	9800	806869
42	10010	804805
43	10229	803517
44	10464	803425
45	10673	801463
46	10872	798790
47	11075	796521
48	11278	794301
49	11480	792147
50	11685	790250
51	11907	789538
52	12108	787532
53	12322	786348
54	12547	785943
55	12762	784919
56	12960	782833
57	13161	781064
58	13372	779901
59	13577	778444
60	13785	777212
61	13997	776192
62	14205	774995
63	14409	773629
64	14627	772992
65	14828	771523
66	15038	770562
67	15251	769738
68	15462	768852
69	15695	769065
70	15894	767636
71	16086	765911
72	16300	765215
73	16501	763977
74	16700	762644
75	16880	760524
76	17093	759898
77	17281	758151
78	17490	757411
79	17710	757116
80	17924	756601
81	18135	755934
82	18334	754788
83	18527	753463
84	18723	752231
85	18919	751073
86	19119	750071
87	19324	749279
88	19519	748112
89	19731	747597
90	19937	746873
91	20141	746117
92	20345	745360
93	20598	746372
94	20830	746592
95	21061	746807
96	21263	745977
97	21457	744898
98	21668	744399
99	21865	743410
100	22058	742337
101	22269	741865
102	22460	740748
103	22661	739979
104	22869	739432
105	23073	738781
106	23306	739070
107	23501	738107
108	23699	737301
109	23895	736406
110	24105	735990
111	24291	734802
112	24505	734519
113	24709	733927
114	24981	735338
115	25242	736375
116	25492	737104
117	25713	736968
118	25907	736064
119	26104	735289
120	26317	734919
121	26553	735214
122	26810	736079
123	27023	735733
124	27259	736016
125	27526	737108
126	27860	739959
127	28128	741007
128	28436	743085
129	28691	743781
130	28953	744605
131	29184	744650
132	29449	745541
133	29775	747946
134	30018	748247
135	30250	748255
136	30521	749233
137	30779	749854
138	31000	749594
139	31260	750261
140	31529	751117
141	31846	753104
142	32128	754233
143	32381	754673
144	32649	755441
145	32847	754593
146	33090	754779
147	33312	754492
148	33539	754293
149	33767	754142
150	33992	753916
151	34227	753899
152	34457	753786
153	34706	754072
154	34931	753850
155	35164	753792
156	35445	754743
157	35707	755275
158	35966	755753
159	36195	755580
160	36412	755163
161	36647	755109
162	36909	755622
163	37167	756031
164	37403	756003
165	37643	756042
166	37925	756915
167	38165	756952
168	38408	757042
169	38696	757994
170	38957	758423
171	39204	758562
172	39420	758102
173	39713	759118
174	39955	759151
175	40189	759038
176	40418	758818
177	40719	759953
178	40986	760420
179	41209	760085
180	41468	760416
181	41703	760289
182	41923	759884
183	42178	760126
184	42392	759636
185	42686	760549
186	42933	760633
187	43186	760818
188	43416	760585
189	43632	760127
190	43907	760687
191	44131	760347
192	44425	761217
193	44661	761094
194	44933	761571
195	45202	761979
196	45457	762159
197	45693	762017
198	45938	762032
199	46160	761650
200	46392	761445
201	46622	761198
202	46872	761276
203	47143	761690
204	47379	761540
205	47624	761537
206	47876	761636
207	48108	761411
208	48348	761310
209	48628	761846
210	48894	762148
211	49144	762199
212	49364	761788
213	49622	761959
214	49886	762214
215	50171	762792
216	50396	762453
217	50643	762440
218	50874	762189
219	51155	762676
220	51392	762512
221	51690	763253
222	51933	763170
223	52218	763698
224	52449	763435
225	52692	763344
226	52971	763776
227	53249	764175
228	53516	764418
229	53761	764351
230	54030	764618
231	54280	764607
232	54505	764252
233	54738	764005
234	54968	763704
235	55191	763320
236	55413	762928
237	55658	762854
238	55889	762575
239	56118	762274
240	56353	762059
241	56579	761720
242	56819	761568
243	57064	761482
244	57300	761271
245	57544	761179
246	57788	761070
247	58065	761402
248	58282	760955
249	58511	760648
250	58727	760185
251	58953	759844
252	59263	760586
253	59486	760211
254	59737	760190
255	59967	759903
256	60209	759761
257	60451	759632
258	60718	759802
259	60983	759948
260	61243	760034
261	61481	759841
262	61737	759861
263	61975	759664
264	62222	759586
265	62474	759555
266	62735	759638
267	62999	759758
268	63236	759545
269	63470	759289
270	63719	759225
271	63976	759256
272	64243	759395
273	64494	759340
274	64751	759357
275	64981	759061
276	65201	758641
277	65433	758365
278	65697	758466
279	65947	758396
